date,iso_code,new_cases_smoothed,new_deaths_smoothed,population,num_vacunes
2020/02/20,MLT,,,441539,
2020/02/20,SVN,,,2078932,
2020/02/20,SWE,0,0,10099270,
2020/02/21,BEL,0,0,11589616,
2020/02/21,DEU,0,0,83783945,
2020/02/21,DNK,,,5792203,
2020/02/21,ESP,0,0,46754783,
2020/02/21,EST,,,1326539,
2020/02/21,FIN,0,0,5540718,
2020/02/21,FRA,0.143,0.143,67564251,
2020/02/21,ITA,2.429,0.143,60461828,
2020/02/21,MLT,,,441539,
2020/02/21,SVN,,,2078932,
2020/02/21,SWE,0,0,10099270,
2020/02/22,BEL,0,0,11589616,
2020/02/22,DEU,0,0,83783945,
2020/02/22,DNK,,,5792203,
2020/02/22,ESP,0,0,46754783,
2020/02/22,EST,,,1326539,
2020/02/22,FIN,0,0,5540718,
2020/02/22,FRA,0,0,67564251,
2020/02/22,ITA,8.429,0.286,60461828,
2020/02/22,MLT,,,441539,
2020/02/22,SVN,,,2078932,
2020/02/22,SWE,0,0,10099270,
2020/02/23,BEL,0,0,11589616,
2020/02/23,DEU,0,0,83783945,
2020/02/23,DNK,,,5792203,
2020/02/23,ESP,0,0,46754783,
2020/02/23,EST,,,1326539,
2020/02/23,FIN,0,0,5540718,
2020/02/23,FRA,0,0,67564251,
2020/02/23,IRL,,,4937796,
2020/02/23,ITA,21.714,0.429,60461828,
2020/02/23,LVA,,,1886202,
2020/02/23,MLT,,,441539,
2020/02/23,NOR,,,5421242,
2020/02/23,PRT,,,10196707,
2020/02/23,SVN,,,2078932,
2020/02/23,SWE,0,0,10099270,
2020/02/24,BEL,0,0,11589616,
2020/02/24,DEU,0,0,83783945,
2020/02/24,DNK,,,5792203,
2020/02/24,ESP,0,0,46754783,
2020/02/24,EST,,,1326539,
2020/02/24,FIN,0,0,5540718,
2020/02/24,FRA,0,0,67564251,
2020/02/24,ITA,32.286,1,60461828,
2020/02/24,LUX,,,625976,
2020/02/24,MLT,,,441539,
2020/02/24,SVN,,,2078932,
2020/02/24,SWE,0,0,10099270,
2020/02/25,AUT,,,9006400,
2020/02/25,BEL,0,0,11589616,
2020/02/25,DEU,0.143,0,83783945,
2020/02/25,DNK,,,5792203,
2020/02/25,ESP,0.571,0,46754783,
2020/02/25,EST,,,1326539,
2020/02/25,FIN,0,0,5540718,
2020/02/25,FRA,0.286,0,67564251,
2020/02/25,HRV,,,4105268,
2020/02/25,ITA,45.571,1.429,60461828,
2020/02/25,LUX,,,625976,
2020/02/25,MLT,,,441539,
2020/02/25,SVN,,,2078932,
2020/02/25,SWE,0,0,10099270,
2020/02/26,AUT,,,9006400,
2020/02/26,BEL,0,0,11589616,
2020/02/26,DEU,1.571,0,83783945,
2020/02/26,DNK,,,5792203,
2020/02/26,ESP,1.571,0,46754783,
2020/02/26,EST,,,1326539,
2020/02/26,FIN,0.143,0,5540718,
2020/02/26,FRA,0.857,0.143,67564251,
2020/02/26,GRC,,,10423056,
2020/02/26,HRV,,,4105268,
2020/02/26,ITA,64.286,1.714,60461828,
2020/02/26,LUX,,,625976,
2020/02/26,MLT,,,441539,
2020/02/26,NOR,,,5421242,
2020/02/26,ROU,,,19237682,
2020/02/26,SVN,,,2078932,
2020/02/26,SWE,0.143,0,10099270,
2020/02/27,AUT,,,9006400,
2020/02/27,BEL,0,0,11589616,
2020/02/27,DEU,4.286,0,83783945,
2020/02/27,DNK,,,5792203,
2020/02/27,ESP,1.857,0,46754783,
2020/02/27,EST,,,1326539,
2020/02/27,FIN,0.143,0,5540718,
2020/02/27,FRA,3.714,0.143,67564251,
2020/02/27,GRC,,,10423056,
2020/02/27,HRV,,,4105268,
2020/02/27,ISL,,,341250,
2020/02/27,ITA,93.143,2.429,60461828,
2020/02/27,LUX,,,625976,
2020/02/27,MLT,,,441539,
2020/02/27,NLD,,,17134873,
2020/02/27,NOR,,,5421242,
2020/02/27,ROU,,,19237682,
2020/02/27,SVN,,,2078932,
2020/02/27,SWE,0.286,0,10099270,
2020/02/28,AUT,,,9006400,
2020/02/28,BEL,0,0,11589616,
2020/02/28,DEU,4.571,0,83783945,
2020/02/28,DNK,,,5792203,
2020/02/28,ESP,4.286,0,46754783,
2020/02/28,EST,,,1326539,
2020/02/28,FIN,0.143,0,5540718,
2020/02/28,FRA,6.429,0.143,67564251,
2020/02/28,GRC,,,10423056,
2020/02/28,HRV,,,4105268,
2020/02/28,ISL,,,341250,
2020/02/28,ITA,124,2.857,60461828,
2020/02/28,LUX,,,625976,
2020/02/28,MLT,,,441539,
2020/02/28,NLD,,,17134873,
2020/02/28,NOR,,,5421242,
2020/02/28,ROU,,,19237682,
2020/02/28,SVN,,,2078932,
2020/02/28,SWE,1.429,0,10099270,
2020/02/29,AUT,,,9006400,
2020/02/29,BEL,0,0,11589616,
2020/02/29,DEU,9,0,83783945,
2020/02/29,DNK,,,5792203,
2020/02/29,ESP,6.143,0,46754783,
2020/02/29,EST,,,1326539,
2020/02/29,FIN,0.286,0,5540718,
2020/02/29,FRA,12.571,0.143,67564251,
2020/02/29,GRC,,,10423056,
2020/02/29,HRV,,,4105268,
2020/02/29,IRL,,,4937796,
2020/02/29,ISL,,,341250,
2020/02/29,ITA,152.286,3.857,60461828,
2020/02/29,LTU,,,2722291,
2020/02/29,LUX,,,625976,
2020/02/29,LVA,,,1886202,
2020/02/29,MLT,,,441539,
2020/02/29,NLD,,,17134873,
2020/02/29,NOR,,,5421242,
2020/02/29,ROU,,,19237682,
2020/02/29,SVN,,,2078932,
2020/02/29,SWE,1.857,0,10099270,
2020/03/01,AUT,2,0,9006400,
2020/03/01,BEL,0.143,0,11589616,
2020/03/01,CZE,,,10708982,
2020/03/01,DEU,16.286,0,83783945,
2020/03/01,DNK,,,5792203,
2020/03/01,ESP,11.714,0,46754783,
2020/03/01,EST,,,1326539,
2020/03/01,FIN,0.714,0,5540718,
2020/03/01,FRA,16.857,0.143,67564251,
2020/03/01,GRC,,,10423056,
2020/03/01,HRV,1,0,4105268,
2020/03/01,IRL,,,4937796,
2020/03/01,ISL,,,341250,
2020/03/01,ITA,219.857,4.429,60461828,
2020/03/01,LTU,,,2722291,
2020/03/01,LUX,,,625976,
2020/03/01,LVA,,,1886202,
2020/03/01,MLT,,,441539,
2020/03/01,NLD,,,17134873,
2020/03/01,NOR,,,5421242,
2020/03/01,PRT,,,10196707,
2020/03/01,ROU,,,19237682,
2020/03/01,SVN,,,2078932,
2020/03/01,SWE,1.857,0,10099270,
2020/03/02,AUT,2.571,0,9006400,
2020/03/02,BEL,1,0,11589616,
2020/03/02,CZE,,,10708982,
2020/03/02,DEU,20.429,0,83783945,
2020/03/02,DNK,,,5792203,
2020/03/02,ESP,16.857,0,46754783,
2020/03/02,EST,,,1326539,
2020/03/02,FIN,0.714,0,5540718,
2020/03/02,FRA,25.571,0.286,67564251,
2020/03/02,GRC,1,0,10423056,
2020/03/02,HRV,1,0,4105268,
2020/03/02,IRL,,,4937796,
2020/03/02,ISL,,,341250,
2020/03/02,ITA,258.143,6.429,60461828,
2020/03/02,LTU,,,2722291,
2020/03/02,LUX,,,625976,
2020/03/02,LVA,,,1886202,
2020/03/02,MLT,,,441539,
2020/03/02,NLD,,,17134873,
2020/03/02,NOR,3.571,0,5421242,
2020/03/02,PRT,,,10196707,
2020/03/02,ROU,0.429,0,19237682,
2020/03/02,SVN,,,2078932,
2020/03/02,SWE,2.571,0,10099270,
2020/03/03,AUT,2.714,0,9006400,
2020/03/03,BEL,1.714,0,11589616,
2020/03/03,CZE,,,10708982,
2020/03/03,DEU,25.571,0,83783945,
2020/03/03,DNK,0.857,0,5792203,
2020/03/03,ESP,22.714,0.143,46754783,
2020/03/03,EST,0.286,0,1326539,
2020/03/03,FIN,0.714,0,5540718,
2020/03/03,FRA,28.286,0.429,67564251,
2020/03/03,GRC,1,0,10423056,
2020/03/03,HRV,1.143,0,4105268,
2020/03/03,HUN,,,9660350,
2020/03/03,IRL,,,4937796,
2020/03/03,ISL,,,341250,
2020/03/03,ITA,311.429,9.857,60461828,
2020/03/03,LTU,,,2722291,
2020/03/03,LUX,,,625976,
2020/03/03,LVA,,,1886202,
2020/03/03,MLT,,,441539,
2020/03/03,NLD,3.429,0,17134873,
2020/03/03,NOR,4.571,0,5421242,
2020/03/03,PRT,,,10196707,
2020/03/03,ROU,0.429,0,19237682,
2020/03/03,SVN,,,2078932,
2020/03/03,SWE,4.429,0,10099270,
2020/03/04,AUT,3.857,0,9006400,
2020/03/04,BEL,3.143,0,11589616,
2020/03/04,CZE,,,10708982,
2020/03/04,DEU,33.571,0,83783945,
2020/03/04,DNK,1.571,0,5792203,
2020/03/04,ESP,29.857,0.286,46754783,
2020/03/04,EST,0.286,0,1326539,
2020/03/04,FIN,0.571,0,5540718,
2020/03/04,FRA,38.571,0.286,67564251,
2020/03/04,GRC,1.143,0,10423056,
2020/03/04,HRV,1,0,4105268,
2020/03/04,HUN,,,9660350,
2020/03/04,IRL,,,4937796,
2020/03/04,ISL,3.714,0,341250,
2020/03/04,ITA,376.571,13.571,60461828,
2020/03/04,LIE,,,38137,
2020/03/04,LTU,,,2722291,
2020/03/04,LUX,,,625976,
2020/03/04,LVA,,,1886202,
2020/03/04,MLT,,,441539,
2020/03/04,NLD,5.429,0,17134873,
2020/03/04,NOR,7.857,0,5421242,
2020/03/04,POL,,,37846605,
2020/03/04,PRT,,,10196707,
2020/03/04,ROU,0.429,0,19237682,
2020/03/04,SVN,,,2078932,
2020/03/04,SWE,8.571,0,10099270,
2020/03/05,AUT,5.429,0,9006400,
2020/03/05,BEL,7,0,11589616,
2020/03/05,CZE,,,10708982,
2020/03/05,DEU,62.286,0,83783945,
2020/03/05,DNK,1.429,0,5792203,
2020/03/05,ESP,34.857,0.429,46754783,
2020/03/05,EST,0.286,0,1326539,
2020/03/05,FIN,1.429,0,5540718,
2020/03/05,FRA,55.429,0.714,67564251,
2020/03/05,GRC,4,0,10423056,
2020/03/05,HRV,1,0,4105268,
2020/03/05,HUN,,,9660350,
2020/03/05,IRL,0.857,0,4937796,
2020/03/05,ISL,4.857,0,341250,
2020/03/05,ITA,457.571,18.714,60461828,
2020/03/05,LIE,,,38137,
2020/03/05,LTU,0.143,0,2722291,
2020/03/05,LUX,0.143,0,625976,
2020/03/05,LVA,,,1886202,
2020/03/05,MLT,,,441539,
2020/03/05,NLD,11.571,0,17134873,
2020/03/05,NOR,12.286,0,5421242,
2020/03/05,POL,,,37846605,
2020/03/05,PRT,,,10196707,
2020/03/05,ROU,0.714,0,19237682,
2020/03/05,SVN,,,2078932,
2020/03/05,SWE,12,0,10099270,
2020/03/06,AUT,7.429,0,9006400,
2020/03/06,BEL,15.429,0,11589616,
2020/03/06,CZE,2.571,0,10708982,
2020/03/06,DEU,88.857,0,83783945,
2020/03/06,DNK,3.286,0,5792203,
2020/03/06,ESP,52.571,0.714,46754783,
2020/03/06,EST,1.286,0,1326539,
2020/03/06,FIN,1.857,0,5540718,
2020/03/06,FRA,79.857,1,67564251,
2020/03/06,GRC,5.857,0,10423056,
2020/03/06,HRV,0.857,0,4105268,
2020/03/06,HUN,,,9660350,
2020/03/06,IRL,2.571,0,4937796,
2020/03/06,ISL,6,0,341250,
2020/03/06,ITA,535.429,25.143,60461828,
2020/03/06,LIE,,,38137,
2020/03/06,LTU,0.143,0,2722291,
2020/03/06,LUX,0.286,0,625976,
2020/03/06,LVA,,,1886202,
2020/03/06,MLT,,,441539,
2020/03/06,NLD,18.143,0.143,17134873,
2020/03/06,NOR,14.571,0,5421242,
2020/03/06,POL,,,37846605,
2020/03/06,PRT,,,10196707,
2020/03/06,ROU,0.857,0,19237682,
2020/03/06,SVK,,,5459643,
2020/03/06,SVN,,,2078932,
2020/03/06,SWE,19.286,0,10099270,
2020/03/07,AUT,10,0,9006400,
2020/03/07,BEL,24,0,11589616,
2020/03/07,CZE,2.714,0,10708982,
2020/03/07,DEU,102.857,0,83783945,
2020/03/07,DNK,3,0,5792203,
2020/03/07,ESP,65,1.429,46754783,
2020/03/07,EST,1.286,0,1326539,
2020/03/07,FIN,1.714,0,5540718,
2020/03/07,FRA,121.143,2,67564251,
2020/03/07,GRC,6,0,10423056,
2020/03/07,HRV,0.857,0,4105268,
2020/03/07,HUN,,,9660350,
2020/03/07,IRL,2.429,0,4937796,
2020/03/07,ISL,7,0,341250,
2020/03/07,ITA,679.286,29.143,60461828,
2020/03/07,LIE,,,38137,
2020/03/07,LTU,0,0,2722291,
2020/03/07,LUX,0.143,0,625976,
2020/03/07,LVA,0.143,0,1886202,
2020/03/07,MLT,,,441539,
2020/03/07,NLD,26,0.143,17134873,
2020/03/07,NOR,18.857,0,5421242,
2020/03/07,POL,,,37846605,
2020/03/07,PRT,2.857,0,10196707,
2020/03/07,ROU,0.857,0,19237682,
2020/03/07,SVK,,,5459643,
2020/03/07,SVN,,,2078932,
2020/03/07,SWE,23.571,0,10099270,
2020/03/08,AUT,12.857,0,9006400,
2020/03/08,BEL,28.286,0,11589616,
2020/03/08,BGR,,,6948445,
2020/03/08,CYP,,,875899,
2020/03/08,CZE,4,0,10708982,
2020/03/08,DEU,130,0,83783945,
2020/03/08,DNK,4.714,0,5792203,
2020/03/08,ESP,84.143,2.429,46754783,
2020/03/08,EST,1.286,0,1326539,
2020/03/08,FIN,2.429,0,5540718,
